	mock_6h_1	mock_6h_2	mock_6h_3	D36E_6h_1	D36E_6h_2	D36E_6h_3
AT1G02450	164	352	327	2454	2215	1516
AT1G02460	211	287	189	680	585	455
AT1G02470	4	10	2	5	3	8
AT1G02475	671	1822	1371	377	358	346
AT1G02480	0	0	0	0	0	0
AT1G02490	0	0	0	0	0	0
AT1G02500	3075	4308	4682	21042	19490	16193
AT1G02510	0	0	0	0	0	0
AT1G02520	13	19	10	689	663	464
AT1G02530	2	0	0	1	0	0
AT1G02540	0	0	0	0	0	0
AT1G02550	0	0	0	2	0	0
AT1G02560	2946	5779	5750	1681	2012	1601
AT1G02570	0	0	0	0	0	0
AT1G02575	0	0	0	0	0	0
AT1G02580	1	0	0	7	13	9
AT1G02590	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0
AT1G02610	91	56	22	96	59	61
AT1G02620	12	13	8	8	1	1
AT1G02630	0	0	3	0	0	0
AT1G02640	31	44	62	22	25	22
AT1G02650	6	5	8	53	41	38
AT1G02660	107	102	78	355	265	206
AT1G02670	3	3	29	5	9	2
AT1G02680	83	173	136	161	133	109
AT1G02690	24	74	36	48	59	31
AT1G02700	2	5	2	7	3	6
AT1G02705	15	39	29	43	50	35
AT1G02710	0	0	0	0	0	0
AT1G02720	72	142	174	58	67	56
AT1G02730	41	106	80	28	44	10
AT1G02740	69	138	119	384	267	185
AT1G02750	118	187	121	377	333	248
AT1G02760	0	0	0	0	0	0
AT1G02770	2	7	7	3	7	7
AT1G02780	3960	9364	9872	9183	8546	6361
AT1G02790	0	0	1	0	0	0
AT1G02800	0	1	2	1	0	0
AT1G02810	0	0	1	0	0	0
AT1G02813	0	0	0	0	0	0
AT1G02816	90	121	117	190	136	96
AT1G02820	28	32	28	33	43	38
AT1G02830	0	0	0	0	0	0
AT1G02840	729	1372	1489	2386	2415	1740
AT1G02850	51	138	114	304	209	160
AT1G02860	172	197	169	350	267	318
AT1G02870	86	216	207	290	225	168
AT1G02880	98	254	245	313	340	252
AT1G02890	1221	2105	2016	2144	1714	1760
AT1G02900	7	1	2	21	12	18
AT1G02910	814	1691	1511	1060	988	825
AT1G02920	767	1127	816	78132	82763	68093
AT1G02930	2748	3232	2857	144167	140290	115165
AT1G02940	1	4	2	11	13	12
AT1G02950	41	70	45	61	38	38
AT1G02952	0	0	0	0	0	0
AT1G02960	151	303	263	180	116	97
AT1G02965	0	0	0	2	0	0
AT1G02970	2	18	14	2	2	6
AT1G02980	0	0	0	1	0	0
AT1G02990	363	630	561	1076	794	887
AT1G03000	393	694	591	350	283	256
AT1G03010	2	1	7	0	0	0
AT1G03020	25	66	25	30	16	28
AT1G03030	122	230	229	250	197	166
AT1G03040	357	797	740	897	738	640
AT1G03050	0	0	0	3	5	0
AT1G03055	23	57	73	20	38	15
AT1G03060	792	1832	2164	4849	3919	4152
AT1G03070	3	9	7	6	4	2
AT1G03080	1254	2253	2394	2716	2463	2399
AT1G03090	316	440	370	100	101	83
AT1G03100	43	115	90	40	25	40
AT1G03103	0	0	0	0	0	0
AT1G03106	0	0	0	5	5	6
AT1G03110	43	129	114	122	81	86
AT1G03120	1	3	4	0	0	1
AT1G03130	17243	19345	19274	4221	7143	5641
AT1G03140	385	664	666	1530	1271	962
AT1G03150	172	218	186	369	235	253
AT1G03160	1246	2355	2525	853	728	649
AT1G03165	6	2	7	4	6	5
AT1G03170	0	0	2	2	3	0
AT1G03180	8	14	10	32	36	17
AT1G03190	87	205	179	228	197	164
AT1G03200	0	5	0	0	0	1
AT1G03210	239	537	468	371	374	321
AT1G03220	344	542	750	930	986	935
AT1G03230	173	380	423	224	296	210
AT1G03240	0	0	0	0	5	0
AT1G03250	330	453	431	759	606	568
AT1G03260	95	195	206	480	324	310
AT1G03270	22	54	54	2	8	1
AT1G03280	436	639	690	661	536	407
AT1G03290	824	1651	1462	3949	3298	2476
AT1G03300	43	69	75	6	4	4
AT1G03310	1425	2824	3165	118	190	182
AT1G03320	7	6	3	6	3	1
AT1G03325	0	0	0	0	0	0
AT1G03330	139	250	235	460	384	291
AT1G03340	56	74	67	74	85	53
AT1G03350	605	945	1142	1690	1594	1304
AT1G03360	34	177	169	219	178	122
AT1G03365	272	448	417	473	347	324
AT1G03370	882	1678	1705	6594	5240	4971
AT1G03380	698	1109	1151	947	896	924
AT1G03390	1	0	0	0	0	0
AT1G03395	0	0	0	0	4	0
AT1G03400	821	1622	1733	1565	1548	1229
AT1G03410	204	522	490	354	298	222
AT1G03430	262	544	481	490	405	285
AT1G03440	106	167	197	120	171	103
AT1G03445	0	0	0	0	1	0
AT1G03457	23	34	28	15	3	12
AT1G03470	13	47	40	14	8	12
AT1G03475	3140	7052	6646	2075	2122	1664
AT1G03490	0	0	0	0	0	0
AT1G03495	0	2	3	0	2	0
AT1G03502	0	0	0	0	0	0
AT1G03506	0	0	1	0	0	2
AT1G03510	18	51	67	17	25	10
AT1G03515	0	0	0	0	0	0
AT1G03520	126	170	150	189	142	110
AT1G03530	164	423	435	322	302	241
AT1G03540	28	36	36	32	29	14
AT1G03545	20	44	42	28	29	25
AT1G03550	69	103	102	93	66	74
AT1G03560	94	212	182	76	83	75
AT1G03570	0	0	0	0	0	0
AT1G03590	280	341	378	471	470	426
AT1G03600	3408	6224	7026	425	664	468
AT1G03610	239	295	272	340	275	235
AT1G03620	8	12	5	2	5	5
AT1G03630	2973	6547	6803	347	605	527
AT1G03640	0	0	0	0	0	0
AT1G03650	34	103	77	149	142	119
AT1G03660	16	15	6	296	243	145
AT1G03670	0	0	0	1	1	0
AT1G03680	4008	7953	8431	1160	1720	1304
AT1G03687	95	184	193	50	35	27
AT1G03700	0	0	0	0	0	0
AT1G03710	2	0	0	1	0	3
AT1G03720	0	0	0	0	0	0
AT1G03730	54	67	89	235	207	186
AT1G03740	1354	1531	1524	5345	4437	4346
AT1G03743	0	0	0	0	0	0
AT1G03746	0	0	0	0	0	0
AT1G03750	88	134	116	228	140	130
AT1G03760	48	201	150	379	346	230
AT1G03770	30	37	35	65	64	46
AT1G03780	8	17	8	3	4	2
AT1G03790	0	0	0	0	0	0
AT1G03800	0	0	0	0	0	0
AT1G03810	0	0	0	0	0	0
AT1G03820	33	85	107	21	3	6
AT1G03830	121	244	243	91	97	66
AT1G03840	5	15	2	32	42	18
AT1G03850	93	52	62	1188	1320	683
AT1G03860	489	1176	1224	1816	1706	1319
AT1G03870	158	273	284	63	54	55
AT1G03880	0	0	0	0	0	0
AT1G03890	0	0	0	0	0	0
AT1G03900	980	1947	2039	3447	2948	2604
AT1G03905	15	24	9	137	120	84
AT1G03910	575	1053	1120	1456	1157	984
AT1G03920	9	35	7	7	1	12
AT1G03930	485	830	783	490	491	327
AT1G03935	2	5	8	4	9	2
AT1G03940	0	1	0	2	2	0
AT1G03950	214	381	375	649	550	435
AT1G03960	180	214	227	218	180	169
AT1G03970	290	437	471	514	528	449
AT1G03980	3	2	6	1	5	6
AT1G03982	0	0	0	0	0	0
AT1G03987	0	0	0	0	0	0
AT1G03990	0	0	0	0	0	0
AT1G03993	2	0	3	0	1	0
AT1G03997	0	0	0	0	0	0
AT1G04000	80	177	216	185	195	169
AT1G04003	0	0	0	0	0	0
AT1G04007	0	0	2	1	0	1
AT1G04010	78	230	246	180	155	162
AT1G04013	0	0	3	0	0	0
AT1G04017	0	0	0	0	0	0
AT1G04020	10	64	61	24	12	15
AT1G04023	0	0	0	0	0	0
AT1G04027	0	7	7	10	7	4
AT1G04030	28	55	41	28	10	14
AT1G04033	0	0	0	0	0	0
AT1G04037	0	0	0	0	0	0
AT1G04040	526	1058	1775	64	87	96
AT1G04043	0	0	0	1	0	1
AT1G04047	0	0	3	1	3	0
AT1G04050	25	64	92	5	13	13
AT1G04053	12	6	1	9	3	1
AT1G04057	0	0	0	0	0	0
AT1G04063	0	0	0	0	0	0
AT1G04067	2	0	2	0	0	0
AT1G04070	34	50	37	43	77	41
AT1G04073	0	1	0	0	0	0
AT1G04077	2	0	0	0	0	0
AT1G04080	1008	2012	1906	2373	1888	1607
AT1G04083	0	5	10	3	4	1
AT1G04087	0	0	0	0	0	0
AT1G04090	2	9	14	6	8	3
AT1G04093	0	0	0	0	0	0
AT1G04097	3	1	0	0	0	0
AT1G04100	40	48	42	105	93	61
AT1G04103	0	0	0	0	0	0
AT1G04105	0	0	0	0	0	0
AT1G04110	0	4	1	4	3	0
AT1G04117	1	1	0	1	0	3
AT1G04120	757	1472	1566	4233	3052	2915
AT1G04123	0	0	5	0	6	2
AT1G04127	0	0	0	0	0	0
AT1G04130	78	213	216	117	139	91
AT1G04133	1	0	0	0	0	0
AT1G04137	0	0	0	0	0	0
AT1G04140	1322	2433	2376	2978	2349	2103
AT1G04143	0	0	0	0	0	0
AT1G04147	0	0	0	0	0	0
AT1G04150	0	0	0	0	0	0
AT1G04153	0	0	0	0	0	0
AT1G04157	1	0	0	0	0	0
AT1G04160	105	165	196	196	140	120
AT1G04163	0	0	0	0	2	0
AT1G04167	0	0	0	0	0	0
AT1G04170	878	2084	2051	3315	2854	2288
AT1G04173	0	0	0	0	0	0
AT1G04177	0	0	0	0	0	0
AT1G04180	1	0	8	0	2	0
AT1G04183	200	264	312	123	117	110
AT1G04187	3	2	1	4	0	0
AT1G04190	216	507	442	389	346	273
AT1G04193	0	0	0	2	1	1
AT1G04197	0	0	0	2	0	0
AT1G04200	231	473	456	1655	1346	1198
AT1G04203	0	0	0	0	0	0
AT1G04207	0	0	0	0	0	0
AT1G04210	438	983	811	1584	1061	974
AT1G04213	0	0	0	0	0	0
AT1G04217	0	1	0	0	0	1
AT1G04220	163	217	394	39	90	95
AT1G04223	6	7	0	1	0	0
AT1G04227	1	6	4	7	2	0
AT1G04230	105	218	217	246	191	198
AT1G04233	2	0	1	1	4	1
AT1G04237	0	3	8	2	0	2
AT1G04240	293	523	554	9	24	14
AT1G04243	0	0	0	0	0	0
AT1G04247	1	5	18	0	1	3
AT1G04250	99	118	181	19	22	20
AT1G04253	0	0	0	0	0	0
AT1G04257	0	0	0	0	0	0
AT1G04260	130	204	200	336	424	320
AT1G04263	0	0	0	0	0	0
AT1G04267	1	2	6	1	3	1
AT1G04270	1341	3060	2934	3300	3070	2248
AT1G04273	1	1	6	6	0	2
AT1G04277	0	4	1	8	2	1
AT1G04280	336	301	414	952	928	736
AT1G04283	0	0	0	0	0	0
AT1G04287	0	0	0	0	0	0
AT1G04290	193	401	430	421	323	228
AT1G04293	0	0	0	0	0	0
AT1G04295	5	6	8	4	2	4
AT1G04297	0	0	0	0	2	2
AT1G04300	813	1329	1264	2082	1698	1541
AT1G04303	0	0	0	2	0	0
AT1G04307	0	0	0	0	0	0
AT1G04310	20	29	32	56	30	32
AT1G04313	26	41	35	2	11	9
AT1G04320	0	0	0	0	0	0
AT1G04323	0	0	0	0	0	0
AT1G04327	0	0	0	0	0	0
AT1G04330	5	3	2	3	2	2
AT1G04333	0	0	0	0	0	0
AT1G04337	0	0	0	0	0	0
AT1G04340	114	242	203	543	488	378
AT1G04343	1	0	0	0	0	0
AT1G04347	3	0	3	0	1	0
AT1G04350	667	1332	1108	164	163	162
AT1G04353	1	14	5	3	7	9
AT1G04357	0	8	2	2	1	0
AT1G04360	9	19	19	10	1	11
AT1G04363	16	13	15	13	17	8
AT1G04367	0	0	0	0	0	0
AT1G04370	0	0	0	3	0	1
AT1G04373	0	0	0	0	0	0
AT1G04377	0	0	0	0	0	0
AT1G04380	0	0	2	0	0	0
AT1G04383	0	0	0	0	0	0
AT1G04387	0	0	0	0	0	0
AT1G04390	155	235	212	290	180	204
AT1G04393	0	0	0	0	0	2
AT1G04397	0	0	0	0	0	0
AT1G04400	2979	4895	4263	3533	2761	2478
AT1G04403	0	0	0	0	0	0
AT1G04407	0	0	0	0	0	0
AT1G04410	7555	14413	15051	13256	12682	10049
AT1G04413	0	0	3	0	0	0
AT1G04417	0	0	0	0	0	0
AT1G04420	1408	2924	3091	484	656	484
AT1G04423	1	0	1	0	6	2
AT1G04425	0	4	3	2	1	0
AT1G04427	0	0	1	0	0	3
AT1G04430	1308	1862	2535	654	496	439
AT1G04433	0	0	0	0	0	0
AT1G04437	0	2	0	0	1	0
AT1G04440	876	1344	1171	2372	2212	1618
AT1G04443	0	0	0	0	0	0
AT1G04445	0	0	0	1	0	0
AT1G04447	0	0	0	0	0	0
AT1G04450	0	0	0	0	0	0
AT1G04453	0	0	0	0	0	0
AT1G04455	0	0	0	0	0	0
AT1G04463	39	63	46	17	29	20
AT1G04467	0	0	7	0	0	0
AT1G04470	0	0	0	0	0	0
AT1G04473	0	0	0	0	0	0
AT1G04477	0	0	1	1	5	2
AT1G04480	655	1644	1825	2681	2388	1793
AT1G04483	0	1	0	0	1	0
AT1G04487	3	2	5	4	3	0
AT1G04490	1	5	3	17	19	6
AT1G04493	0	0	0	0	0	0
AT1G04497	0	0	0	0	0	0
AT1G04500	1	0	1	8	3	8
AT1G04503	0	0	2	0	0	0
AT1G04507	0	0	0	0	1	0
AT1G04510	473	950	879	1336	1127	970
AT1G04513	1	3	4	2	4	0
AT1G04517	0	0	0	0	0	0
AT1G04520	25	68	96	10	9	4
AT1G04523	0	0	0	0	0	0
AT1G04527	0	0	0	0	0	0
AT1G04530	1152	1765	1463	2285	2038	1524
AT1G04533	0	0	1	0	0	0
AT1G04537	0	2	0	12	3	0
AT1G04540	1	3	3	2	10	9
AT1G04547	0	0	0	0	0	0
AT1G04550	190	345	379	142	119	73
AT1G04555	43	79	98	195	190	137
AT1G04557	0	3	5	0	1	0
AT1G04560	0	0	0	0	0	0
AT1G04563	0	0	0	0	0	0
AT1G04567	0	0	0	0	0	0
AT1G04570	42	59	57	326	213	191
AT1G04573	0	0	0	0	0	0
