	mock_6h_1	mock_6h_2	mock_6h_3	D36E_6h_1	D36E_6h_2	D36E_6h_3
AT1G21850	0	0	0	2	5	0
AT1G21860	0	0	0	0	0	0
AT1G21864	0	0	0	0	0	0
AT1G21866	0	0	0	0	0	0
AT1G21870	0	0	0	0	0	0
AT1G21880	121	322	404	52	47	39
AT1G21890	0	0	0	0	0	0
AT1G21900	354	838	822	1940	1732	1346
AT1G21910	23	15	5	164	74	82
AT1G21920	441	392	365	176	184	112
AT1G21925	0	0	0	0	0	0
AT1G21928	0	0	0	0	0	0
AT1G21930	68	189	138	89	112	78
AT1G21940	0	0	0	0	0	0
AT1G21950	0	0	0	2	0	0
AT1G21960	0	0	0	0	0	0
AT1G21970	0	0	0	0	0	0
AT1G21980	220	356	547	174	231	189
AT1G21990	0	0	0	0	0	0
AT1G22000	0	0	0	0	0	1
AT1G22010	0	0	0	0	0	0
AT1G22015	0	0	0	0	0	0
AT1G22020	318	617	577	1050	857	716
AT1G22030	20	39	31	19	9	11
AT1G22040	166	336	272	382	304	247
AT1G22050	79	125	133	108	101	63
AT1G22060	754	1230	1444	754	617	565
AT1G22065	0	1	2	0	0	0
AT1G22070	1126	1756	1901	5794	5256	4538
AT1G22080	0	0	0	0	0	0
AT1G22090	0	0	0	0	0	0
AT1G22100	0	0	0	0	0	0
AT1G22110	2	8	0	9	2	1
AT1G22120	0	0	0	0	0	0
AT1G22130	0	0	0	0	0	0
AT1G22140	189	365	347	283	277	230
AT1G22150	0	0	0	0	0	0
AT1G22160	76	77	91	19	20	16
AT1G22170	15	58	48	8	5	15
AT1G22180	164	212	157	865	710	587
AT1G22190	144	256	242	402	288	266
AT1G22200	344	712	718	1876	1506	1228
AT1G22210	0	0	0	0	0	0
AT1G22220	2	9	5	11	11	1
AT1G22230	15	15	6	10	2	15
AT1G22240	0	1	0	0	0	0
AT1G22250	42	102	115	64	67	53
AT1G22260	3	10	9	19	17	10
AT1G22270	247	357	385	423	396	282
AT1G22275	4	25	26	23	10	23
AT1G22280	940	1606	1554	6415	5058	4347
AT1G22290	0	0	0	0	0	0
AT1G22300	2286	4042	3716	9634	8099	6308
AT1G22310	87	181	153	172	128	138
AT1G22320	0	0	0	0	0	0
AT1G22330	50	76	91	12	11	17
AT1G22340	7	17	17	6	4	2
AT1G22360	656	918	1155	297	334	327
AT1G22370	513	643	665	36	50	46
AT1G22380	28	25	44	3	0	4
AT1G22400	281	346	339	12357	10533	7037
AT1G22403	36	70	52	100	70	75
AT1G22410	1738	3087	3652	21957	19151	16764
AT1G22420	0	0	0	0	1	0
AT1G22430	529	1149	999	149	176	185
AT1G22440	0	3	0	2	0	4
AT1G22450	559	1400	1403	2299	1963	1447
AT1G22460	0	0	0	0	0	0
AT1G22470	8	2	4	13	5	3
AT1G22480	0	0	0	0	0	0
AT1G22490	47	20	26	14	6	5
AT1G22500	250	256	229	41	112	105
AT1G22510	122	183	161	647	520	390
AT1G22520	227	369	398	506	446	343
AT1G22530	1280	1495	1709	490	335	347
AT1G22540	361	466	513	248	216	191
AT1G22550	38	45	41	2	9	12
AT1G22570	774	466	436	376	311	315
AT1G22590	138	298	293	24	44	31
AT1G22600	0	4	0	1	0	2
AT1G22610	748	1310	1464	1807	1769	1494
AT1G22620	579	1137	990	800	655	603
AT1G22630	600	1337	996	87	94	111
AT1G22640	135	134	126	97	81	105
AT1G22650	171	343	394	2396	2231	1812
AT1G22660	106	185	173	142	141	128
AT1G22670	0	0	0	0	0	0
AT1G22680	0	0	0	0	0	0
AT1G22690	105	148	158	173	233	206
AT1G22700	726	1677	1602	196	287	226
AT1G22710	2690	3820	3328	6844	4747	4086
AT1G22720	0	0	0	0	0	0
AT1G22730	355	666	735	1184	1055	870
AT1G22740	160	263	216	21	25	12
AT1G22750	401	788	622	1156	963	935
AT1G22760	0	0	1	0	0	0
AT1G22770	2942	3809	4437	3698	3050	3047
AT1G22780	545	1513	1376	2119	2005	1394
AT1G22790	159	245	263	129	111	100
AT1G22800	0	0	0	0	0	0
AT1G22810	6	2	0	11	10	9
AT1G22830	64	111	109	30	34	22
AT1G22840	589	1333	1216	3555	2863	2102
AT1G22850	1373	2541	2462	538	607	512
AT1G22860	243	392	370	472	388	386
AT1G22870	174	329	295	696	506	478
AT1G22880	1	1	1	0	1	0
AT1G22882	258	500	547	846	669	536
AT1G22885	32	71	65	123	98	64
AT1G22890	114	119	102	1272	1516	1108
AT1G22900	45	50	29	738	928	633
AT1G22910	226	297	364	144	150	147
AT1G22920	303	580	603	787	765	597
AT1G22930	1631	3048	2699	3842	3403	2716
AT1G22940	276	487	457	309	245	197
AT1G22950	150	281	342	497	453	354
AT1G22960	88	184	150	233	168	124
AT1G22970	90	229	191	287	243	166
AT1G22980	0	2	4	5	6	0
AT1G22985	17	39	56	65	96	52
AT1G22990	0	0	0	0	0	0
AT1G23000	1	7	1	1	0	0
AT1G23010	16	25	29	23	7	12
AT1G23020	428	650	446	294	292	296
AT1G23030	136	240	243	330	312	233
AT1G23037	0	0	0	0	0	0
AT1G23040	47	63	55	210	328	195
AT1G23050	21	8	9	0	7	0
AT1G23052	54	34	12	8	12	8
AT1G23060	10	4	7	0	0	3
AT1G23070	0	2	0	0	0	0
AT1G23080	1538	1627	2078	230	314	259
AT1G23090	384	1010	968	1414	1203	1260
AT1G23100	25	73	62	89	77	64
AT1G23110	2	0	0	3	1	2
AT1G23120	2	6	7	6	4	4
AT1G23130	7939	13673	10283	11557	9124	7459
AT1G23140	46	117	89	566	505	386
AT1G23145	0	0	0	0	0	0
AT1G23147	0	0	0	0	0	0
AT1G23150	15	25	29	143	120	91
AT1G23160	0	0	0	0	0	0
AT1G23170	164	210	235	2582	1927	1648
AT1G23180	439	1056	944	95	118	98
AT1G23190	1179	2506	2714	1940	1903	1600
AT1G23200	34	15	19	60	91	55
AT1G23201	0	0	0	0	1	0
AT1G23205	40	153	181	5	6	3
AT1G23210	0	1	0	0	0	0
AT1G23220	157	197	238	557	513	456
AT1G23230	391	738	735	1584	1431	1322
AT1G23240	0	0	0	0	0	0
AT1G23250	0	0	0	0	0	0
AT1G23260	278	452	438	920	800	674
AT1G23270	0	0	0	0	0	0
AT1G23280	142	475	436	416	373	286
AT1G23290	715	1625	1677	2319	1946	1399
AT1G23300	0	4	4	4	3	0
AT1G23310	17960	37920	34852	13263	14088	10731
AT1G23320	0	0	0	0	0	0
AT1G23330	108	227	205	209	226	178
AT1G23340	13	26	17	3	4	2
AT1G23350	0	0	0	0	0	0
AT1G23360	252	547	407	143	98	83
AT1G23380	6	6	1	2	1	4
AT1G23390	3168	2153	2404	2383	2833	1864
AT1G23400	1148	2540	2279	380	419	335
AT1G23410	12	23	18	19	13	10
AT1G23420	0	0	0	0	0	0
AT1G23440	435	709	586	2405	2112	1590
AT1G23450	14	22	14	14	6	2
AT1G23460	76	148	115	122	100	86
AT1G23465	2	14	11	7	12	6
AT1G23480	114	198	186	304	149	209
AT1G23490	2412	4156	4870	20616	16868	14132
AT1G23500	0	0	0	0	0	0
AT1G23510	0	1	0	4	1	2
AT1G23520	0	2	0	0	1	0
AT1G23530	33	55	38	50	25	12
AT1G23540	2	2	3	0	1	1
AT1G23550	20	29	26	260	251	167
AT1G23560	1	1	3	506	374	319
AT1G23570	0	0	0	0	0	0
AT1G23580	0	0	0	0	0	0
AT1G23590	0	0	0	0	0	0
AT1G23600	0	0	0	0	0	0
AT1G23610	0	0	0	0	0	0
AT1G23640	0	0	0	0	0	0
AT1G23645	0	0	0	0	0	0
AT1G23650	0	0	0	0	0	0
AT1G23660	0	0	0	0	0	0
AT1G23670	0	0	0	0	0	0
AT1G23680	0	0	0	0	0	0
AT1G23690	0	0	0	0	0	0
AT1G23700	0	0	0	0	0	0
AT1G23710	83	174	186	1804	1501	1358
AT1G23720	0	0	0	0	0	0
AT1G23730	114	152	156	144	129	99
AT1G23740	1464	2710	2899	201	306	255
AT1G23750	98	144	141	86	78	47
AT1G23760	2	2	1	1	9	4
AT1G23770	0	0	0	0	0	0
AT1G23780	363	680	675	939	757	614
AT1G23790	0	8	5	0	0	0
AT1G23800	162	172	185	217	153	88
AT1G23810	0	0	1	0	0	0
AT1G23820	1104	2361	2310	734	594	514
AT1G23830	46	80	66	67	88	70
AT1G23840	86	85	147	164	155	118
AT1G23850	5	10	10	65	37	39
AT1G23860	205	302	381	489	397	331
AT1G23870	126	156	124	335	208	208
AT1G23880	16	26	43	10	16	6
AT1G23890	44	51	32	39	10	26
AT1G23900	691	1287	1250	2666	2226	1870
AT1G23910	0	0	0	0	0	0
AT1G23915	0	0	0	0	0	0
AT1G23935	27	41	45	15	9	13
AT1G23950	322	693	587	774	689	555
AT1G23960	306	523	432	876	756	587
AT1G23965	11	5	0	1	0	2
AT1G23970	73	166	119	138	84	127
AT1G23980	27	73	37	27	13	9
AT1G23985	4	3	2	0	2	2
AT1G23995	1	1	1	1	0	1
AT1G24000	0	0	0	0	0	1
AT1G24010	0	0	0	0	0	0
AT1G24020	52	124	268	6	15	9
AT1G24030	6	10	9	7	8	4
AT1G24040	255	597	493	172	151	142
AT1G24050	455	958	978	1268	1130	913
AT1G24060	0	0	0	0	0	0
AT1G24062	0	0	0	0	0	0
AT1G24068	0	0	0	0	0	0
AT1G24070	10	41	40	0	1	1
AT1G24080	0	0	0	0	0	0
AT1G24090	13	56	33	41	23	15
AT1G24095	16	23	10	278	204	130
AT1G24100	1102	2431	2054	2095	2081	1505
AT1G24110	0	0	0	0	0	0
AT1G24120	365	599	620	389	305	273
AT1G24130	0	0	0	0	0	0
AT1G24140	80	127	147	1602	1509	1346
AT1G24145	186	344	201	1868	1569	1221
AT1G24147	1369	2773	2344	1410	1308	1051
AT1G24148	531	945	866	157	213	196
AT1G24150	279	435	464	1558	1404	1474
AT1G24159	0	0	0	0	0	0
AT1G24160	792	1253	1391	247	208	267
AT1G24170	362	658	838	809	568	495
AT1G24180	478	797	922	1821	1809	1355
AT1G24190	636	929	936	1388	1174	978
AT1G24200	0	0	0	0	0	0
AT1G24210	6	21	12	30	18	21
AT1G24220	0	0	0	0	0	0
AT1G24230	0	0	0	6	1	0
AT1G24240	129	211	249	108	92	91
AT1G24250	1	0	0	0	0	2
AT1G24256	0	0	0	0	0	0
AT1G24260	4	4	10	1	0	0
AT1G24265	15	22	26	7	10	5
AT1G24267	287	703	697	1351	1185	1111
AT1G24270	5	4	7	2	9	0
AT1G24280	157	485	442	483	318	372
AT1G24290	55	109	94	25	19	19
AT1G24300	688	1167	1154	1485	1206	1056
AT1G24310	123	356	309	350	312	246
AT1G24320	0	1	0	5	4	9
AT1G24330	46	83	130	45	39	42
AT1G24340	236	323	363	226	258	219
AT1G24350	181	334	304	771	666	514
AT1G24360	941	2037	1987	2942	2582	2010
AT1G24380	0	1	0	0	0	0
AT1G24388	0	0	0	0	0	0
AT1G24390	0	0	0	0	0	0
AT1G24400	154	223	273	140	137	142
AT1G24405	2	2	1	1	1	0
AT1G24420	0	1	0	1	0	0
AT1G24430	0	0	0	0	0	0
AT1G24440	165	195	222	322	296	214
AT1G24450	83	136	145	39	21	23
AT1G24460	903	1632	1857	2432	1859	1771
AT1G24470	149	146	245	13	30	17
AT1G24475	0	0	0	0	0	0
AT1G24480	2	0	0	0	0	0
AT1G24485	0	0	0	0	0	0
AT1G24490	383	762	689	475	355	356
AT1G24510	1150	2286	2353	3044	2426	2002
AT1G24520	0	0	0	0	0	0
AT1G24530	66	52	35	431	422	468
AT1G24540	0	0	0	0	0	0
AT1G24545	0	0	0	0	0	0
AT1G24560	423	643	803	1344	1232	991
AT1G24570	0	3	0	12	0	1
AT1G24575	127	91	115	319	204	155
AT1G24577	5	6	11	13	10	3
AT1G24580	3	7	3	1	3	0
AT1G24590	0	0	0	0	0	0
AT1G24600	3	3	0	47	49	38
AT1G24610	311	635	639	273	271	225
AT1G24620	0	0	0	0	0	0
AT1G24625	269	496	465	202	182	136
AT1G24650	1	3	0	2	1	1
AT1G24660	0	0	0	0	0	0
AT1G24706	786	1478	1380	1598	1264	1219
AT1G24735	4	10	4	8	6	4
AT1G24764	310	478	545	295	221	177
AT1G24793	0	2	0	1	0	0
AT1G24800	0	0	1	2	0	4
AT1G24807	0	0	0	0	1	0
AT1G24822	0	0	0	0	0	0
AT1G24851	0	0	0	0	0	0
AT1G24880	1	3	1	4	0	2
AT1G24881	0	0	0	0	0	0
AT1G24909	0	0	0	0	0	0
AT1G24996	0	0	0	0	0	0
AT1G25025	0	0	1	0	0	0
AT1G25054	2	13	7	12	0	0
AT1G25055	4	0	0	1	0	0
AT1G25083	0	0	0	0	0	0
AT1G25097	0	0	0	0	0	0
AT1G25098	3	14	5	6	7	10
AT1G25112	0	0	0	0	0	0
AT1G25141	0	0	0	0	0	0
AT1G25145	0	0	0	0	0	0
AT1G25150	0	0	0	0	0	0
AT1G25155	0	0	0	0	0	0
AT1G25175	1	0	0	1	2	0
AT1G25180	1	0	0	1	0	0
AT1G25210	0	0	0	0	0	0
AT1G25211	71	169	183	314	253	236
AT1G25220	376	641	541	2575	2544	2001
AT1G25230	260	344	272	90	64	49
AT1G25240	0	0	0	0	0	0
AT1G25250	86	160	196	14	17	26
AT1G25260	213	701	600	546	375	284
AT1G25270	0	0	0	0	0	0
AT1G25275	616	895	937	810	738	560
AT1G25277	28	46	38	13	29	9
AT1G25280	365	768	713	2061	1812	1535
AT1G25290	130	242	219	57	42	28
AT1G25300	0	0	0	0	0	0
AT1G25310	0	0	0	0	0	0
AT1G25320	128	184	232	145	125	125
AT1G25330	0	0	0	0	0	0
AT1G25340	0	0	0	0	0	0
AT1G25350	604	1351	1200	1486	1164	1042
AT1G25360	38	69	91	28	28	34
AT1G25370	33	58	56	685	540	547
AT1G25375	129	198	229	149	163	107
AT1G25380	269	613	560	544	429	387
AT1G25390	448	720	721	4621	3705	3804
AT1G25400	47	61	78	696	610	447
AT1G25410	0	0	0	0	0	0
AT1G25420	203	372	369	310	255	253
AT1G25422	6	31	11	12	2	2
AT1G25425	19	41	66	15	18	16
AT1G25440	5747	8630	7730	2196	2675	2000
AT1G25450	230	257	434	141	144	137
AT1G25460	0	0	0	11	6	3
AT1G25470	71	151	119	103	63	44
AT1G25480	86	180	187	137	126	122
AT1G25490	856	1685	1666	3220	2526	2429
AT1G25500	62	86	96	84	78	52
AT1G25510	3	6	4	1	0	3
AT1G25520	230	341	354	514	501	401
AT1G25530	8	34	30	5	7	6
AT1G25540	249	424	408	910	719	639
AT1G25550	602	906	734	3540	2440	2192
AT1G25560	706	767	794	2481	2299	1951
AT1G25570	353	586	668	626	470	450
AT1G25580	225	440	472	650	566	453
AT1G25682	286	479	417	1447	1104	944
AT1G25988	0	0	0	2	0	0
AT1G26090	160	347	296	65	97	69
AT1G26100	29	55	89	3	9	2
AT1G26110	1851	3664	3554	3613	3093	2792
AT1G26120	209	402	303	957	829	710
AT1G26130	476	639	749	4211	3395	3156
AT1G26140	0	0	0	0	0	0
AT1G26150	1871	2298	2438	436	508	482
AT1G26160	266	558	512	313	357	252
AT1G26170	237	582	556	505	312	349
AT1G26180	229	450	389	150	82	90
AT1G26190	120	257	273	104	97	89
AT1G26200	25	49	39	55	83	64
AT1G26208	55	90	79	28	30	20
AT1G26210	139	152	228	23	13	14
AT1G26218	2	8	2	6	12	3
AT1G26220	235	445	391	51	81	48
AT1G26225	1	2	0	0	0	2
AT1G26230	417	1017	1053	25	30	41
AT1G26233	0	0	1	0	0	0
AT1G26235	0	0	0	0	0	0
AT1G26240	0	0	0	1	10	5
AT1G26250	0	1	0	0	0	0
AT1G26255	0	0	0	0	0	0
AT1G26260	84	129	134	88	86	61
AT1G26270	1006	2027	2063	2887	2728	1891
AT1G26290	14	21	33	58	53	47
AT1G26300	138	293	302	524	452	379
AT1G26310	0	0	0	0	0	0
AT1G26320	0	0	0	0	0	0
AT1G26330	8	29	15	9	12	2
AT1G26340	88	192	182	396	368	293
AT1G26350	0	0	0	0	0	0
AT1G26355	0	0	0	0	0	0
AT1G26360	0	0	0	2	0	0
AT1G26370	182	359	356	322	302	219
AT1G26380	8	11	17	1212	1328	1327
AT1G26390	3	1	0	221	274	135
AT1G26400	0	2	0	0	0	0
AT1G26410	0	6	6	1777	1749	1747
AT1G26420	32	57	45	6069	5293	4878
AT1G26430	0	0	0	0	0	0
AT1G26440	334	470	398	633	470	356
AT1G26450	2	14	0	7	6	3
AT1G26460	310	744	724	768	640	552
AT1G26470	170	415	291	590	539	384
AT1G26480	0	0	0	0	0	0
AT1G26490	0	0	0	0	0	0
AT1G26500	12	58	46	8	5	6
AT1G26510	2	0	0	0	0	0
AT1G26515	0	0	0	0	1	0
AT1G26520	70	110	104	71	57	54
AT1G26530	3	6	18	13	2	9
AT1G26540	4	18	22	4	2	2
AT1G26550	1139	2245	2024	1747	1566	1258
AT1G26558	15	15	11	17	12	15
AT1G26560	573	1228	1453	162	194	169
AT1G26570	69	123	165	77	53	48
AT1G26580	956	1851	1519	1708	1263	1114
AT1G26590	0	0	5	5	1	0
AT1G26600	5	12	10	20	12	3
AT1G26610	0	2	10	2	0	0
AT1G26620	292	317	308	798	656	527
AT1G26630	3097	6310	5975	7531	7321	5521
AT1G26640	211	434	361	592	558	427
AT1G26650	163	243	228	91	79	56
AT1G26660	62	130	132	187	164	98
AT1G26665	164	330	291	227	205	136
AT1G26670	660	976	897	1512	1478	1154
AT1G26680	0	0	0	0	3	0
AT1G26690	283	632	571	1728	1692	1172
AT1G26700	0	0	0	0	0	0
AT1G26710	0	0	0	0	0	0
AT1G26720	0	0	0	0	0	0
AT1G26730	34	49	54	440	314	325
AT1G26740	90	228	198	179	139	109
AT1G26750	137	362	321	389	327	254
AT1G26760	4	4	3	1	0	0
AT1G26761	363	462	490	23	80	66
AT1G26762	0	0	1	0	1	0
AT1G26770	251	456	413	867	860	773
AT1G26773	0	0	0	0	0	0
AT1G26780	0	0	0	0	0	0
AT1G26790	0	0	0	0	0	0
AT1G26795	0	0	0	0	0	0
AT1G26796	0	0	0	0	0	0
AT1G26797	0	0	0	0	0	0
AT1G26798	0	0	0	0	0	0
AT1G26799	0	0	0	0	0	0
AT1G26800	324	271	281	334	393	235
AT1G26810	57	96	104	12	22	14
AT1G26815	0	0	0	0	0	0
AT1G26820	25	34	22	27	29	19
AT1G26830	611	1224	1211	1584	1348	1254
AT1G26840	8	10	16	62	67	55
AT1G26850	2436	4365	4977	4863	4029	3845
AT1G26870	0	0	0	0	0	0
AT1G26880	511	1425	1489	1757	1661	1177
AT1G26890	0	0	0	0	0	0
AT1G26900	45	90	93	83	69	62
AT1G26910	44	111	107	242	215	160
AT1G26920	462	412	381	165	141	122
AT1G26921	0	0	0	0	0	0
AT1G26930	40	39	20	77	69	40
AT1G26940	121	211	161	206	162	172
AT1G26945	117	207	168	7	27	8
AT1G26960	33	52	78	14	17	9
AT1G26970	0	1	2	0	0	0
AT1G26973	0	0	0	0	0	0
AT1G26975	0	0	0	0	0	0
AT1G26976	0	0	0	5	5	6
AT1G26985	0	0	0	0	0	0
AT1G27000	736	1296	1240	2700	2083	1912
AT1G27008	0	0	0	0	0	0
AT1G27020	1164	590	252	641	825	1125
AT1G27030	341	454	501	64	55	34
AT1G27040	0	0	0	0	0	0
AT1G27045	0	0	2	0	0	0
AT1G27050	52	180	177	148	120	100
AT1G27060	52	121	78	85	86	72
AT1G27070	153	303	284	178	152	112
AT1G27080	0	0	0	0	0	0
AT1G27090	1473	2321	2446	4243	4324	3407
AT1G27100	705	1078	1032	3367	2818	2197
AT1G27110	25	48	11	51	32	26
AT1G27120	98	100	138	48	72	41
AT1G27130	559	917	1173	558	648	554
AT1G27135	0	0	0	0	0	0
AT1G27140	0	0	0	0	0	0
AT1G27150	177	312	247	71	69	50
AT1G27160	0	0	3	0	0	0
AT1G27170	73	108	158	112	113	78
AT1G27180	134	233	279	293	223	284
AT1G27190	527	740	894	372	307	282
AT1G27200	448	393	579	229	236	150
AT1G27210	243	311	346	284	201	176
AT1G27220	0	0	0	0	0	0
AT1G27240	0	0	0	0	0	0
AT1G27250	0	0	0	0	0	0
AT1G27260	0	0	0	0	0	0
AT1G27270	0	0	0	0	0	0
AT1G27280	0	0	0	0	0	0
AT1G27290	406	507	440	900	781	707
AT1G27300	126	181	173	234	137	131
AT1G27310	524	1102	1122	1324	1373	1036
AT1G27320	1640	2528	2864	2255	1821	1623
AT1G27330	317	1489	987	3337	2150	1351
AT1G27340	466	965	1025	451	467	421
AT1G27350	301	955	855	1833	1348	1053
AT1G27360	113	431	351	104	102	90
AT1G27370	70	175	167	49	40	36
AT1G27380	0	8	3	1	2	1
AT1G27385	266	562	449	480	420	369
AT1G27390	227	428	478	716	650	466
AT1G27400	519	1600	1456	1042	925	688
AT1G27410	49	116	122	43	51	44
AT1G27420	35	54	42	29	14	16
AT1G27430	692	1293	1338	1557	1264	1224
AT1G27435	187	448	554	379	281	253
AT1G27440	75	189	177	232	201	166
AT1G27450	1454	3345	2969	4044	3905	2922
AT1G27460	219	281	310	50	55	49
AT1G27461	0	0	0	0	0	0
AT1G27470	176	538	531	1411	1088	982
AT1G27480	789	1785	1832	125	145	125
AT1G27490	0	0	0	0	0	0
AT1G27500	32	65	76	153	157	152
AT1G27510	510	1057	1145	528	459	417
AT1G27520	311	698	516	554	364	337
AT1G27530	613	1270	1094	957	726	626
AT1G27535	0	0	0	0	0	0
AT1G27540	125	229	254	236	200	139
AT1G27550	0	0	0	0	0	0
AT1G27555	0	0	0	0	0	0
AT1G27565	0	0	0	0	0	0
AT1G27570	0	0	0	0	0	0
AT1G27580	0	0	1	7	0	0
AT1G27595	299	566	557	545	379	344
AT1G27600	349	540	586	525	422	385
AT1G27610	0	0	0	0	0	0
AT1G27620	1	4	2	5	6	10
AT1G27630	676	1199	1055	1023	694	739
AT1G27640	0	0	0	1	0	0
AT1G27650	430	740	802	1381	1424	1068
AT1G27660	26	82	75	21	22	12
AT1G27670	2	0	1	1	0	0
AT1G27680	233	520	568	253	266	200
AT1G27690	173	275	260	151	133	100
AT1G27695	7	12	30	17	13	3
AT1G27700	161	257	282	216	176	132
AT1G27710	0	0	0	0	0	0
AT1G27720	8	14	13	191	133	120
AT1G27730	121	117	126	2668	2203	2276
AT1G27740	0	0	0	0	0	0
AT1G27750	247	439	367	425	326	300
AT1G27752	402	712	665	866	728	661
AT1G27760	617	1215	1370	2330	1603	1628
AT1G27770	1241	2295	1756	5869	4983	3790
AT1G27820	0	0	1	1	0	0
AT1G27840	141	413	317	468	366	351
AT1G27850	475	782	862	722	515	574
AT1G27860	0	1	0	0	0	0
AT1G27870	0	0	0	0	0	0
AT1G27880	7	24	19	14	12	16
AT1G27890	0	0	0	4	1	3
AT1G27900	262	518	505	589	491	409
AT1G27910	333	436	476	615	445	439
AT1G27920	29	53	46	51	43	25
AT1G27921	145	210	133	198	111	122
AT1G27930	750	1142	1426	3583	3345	2878
AT1G27940	9	23	46	1	0	2
AT1G27950	1606	2511	4416	455	611	602
AT1G27960	19	43	31	24	19	13
AT1G27970	557	1260	1207	2205	2142	1862
AT1G27980	144	291	250	1038	923	922
AT1G27990	0	0	0	0	0	0
AT1G28000	0	0	1	0	0	0
AT1G28005	0	0	0	0	0	0
AT1G28010	308	290	593	274	258	261
AT1G28020	0	0	0	0	0	0
AT1G28030	0	0	0	1	0	0
AT1G28040	0	3	2	0	0	0
AT1G28050	845	1247	1541	1345	1153	955
AT1G28060	595	1061	1104	1605	1363	1113
AT1G28070	80	138	125	124	66	57
AT1G28080	0	0	0	1	3	0
AT1G28090	139	303	261	310	270	219
AT1G28100	160	199	172	45	34	30
AT1G28110	111	219	223	64	63	42
AT1G28120	252	482	425	522	421	365
AT1G28130	18	17	23	1	4	1
AT1G28135	0	0	0	0	0	0
AT1G28140	921	1702	1543	1027	838	758
AT1G28150	530	832	836	309	398	236
AT1G28160	0	0	0	0	0	0
AT1G28170	0	0	0	0	0	0
AT1G28180	0	0	0	0	1	0
AT1G28190	115	154	143	623	582	499
AT1G28200	419	587	695	1308	1229	959
AT1G28210	54	108	107	249	180	155
AT1G28220	0	3	2	0	0	0
AT1G28230	286	430	573	172	164	227
AT1G28240	413	628	611	1081	900	871
AT1G28250	103	171	132	352	258	224
AT1G28260	244	380	348	190	164	103
AT1G28265	0	0	0	0	0	0
AT1G28270	0	0	0	0	0	0
AT1G28280	357	657	672	1519	1379	1308
AT1G28290	58	40	54	50	24	25
AT1G28300	0	0	0	0	0	0
AT1G28305	0	0	0	0	0	0
AT1G28306	0	0	0	0	0	0
AT1G28310	113	228	189	49	53	50
AT1G28320	551	1003	995	1098	884	764
AT1G28327	0	0	0	0	1	0
AT1G28330	1775	1653	1554	203	257	169
AT1G28335	0	0	0	0	0	0
AT1G28340	723	1173	1320	1617	1362	1255
AT1G28350	314	785	880	1326	1063	989
AT1G28360	0	0	0	2	5	1
AT1G28370	8	6	13	106	100	83
AT1G28375	0	0	0	0	0	0
AT1G28380	866	1413	1389	6320	5297	5430
AT1G28390	41	45	54	1685	1617	1447
AT1G28395	71	176	186	92	83	72
AT1G28400	397	1135	895	333	290	190
AT1G28410	173	238	254	272	210	182
AT1G28420	615	1030	1096	1336	1111	1045
AT1G28430	0	0	0	0	0	0
AT1G28440	890	1635	1806	772	730	579
AT1G28450	0	0	0	0	0	0
AT1G28460	0	0	0	0	0	0
AT1G28470	2	2	1	3	4	1
AT1G28480	39	61	90	300	316	195
AT1G28490	256	484	503	1018	845	680
AT1G28500	0	0	0	0	0	0
AT1G28510	209	653	577	1458	1298	943
AT1G28520	426	638	670	1282	906	769
AT1G28530	65	156	135	47	20	37
AT1G28540	126	144	181	398	344	274
AT1G28550	0	0	0	0	0	0
AT1G28560	56	144	149	108	82	84
AT1G28570	80	229	244	20	36	17
AT1G28580	659	1116	1106	699	647	619
AT1G28590	0	0	0	0	0	0
AT1G28600	746	1627	1816	1622	1480	1372
AT1G28610	286	551	579	63	101	72
AT1G28630	0	0	0	0	0	0
AT1G28640	0	0	0	0	0	0
AT1G28650	0	0	0	0	0	0
AT1G28660	89	177	171	13	10	21
AT1G28670	224	510	494	16	40	28
AT1G28680	207	298	447	1061	1103	982
AT1G28685	34	57	42	25	23	31
AT1G28690	37	67	53	28	14	9
AT1G28695	0	0	0	0	0	0
AT1G28700	0	0	0	0	0	0
AT1G28710	96	230	212	72	43	56
AT1G28715	45	118	86	36	15	13
AT1G28720	0	0	0	0	0	0
AT1G28730	0	0	0	0	0	0
AT1G28740	0	0	0	0	0	0
AT1G28750	0	0	0	0	0	0
AT1G28760	39	58	79	71	63	53
AT1G28765	16	31	35	8	8	10
AT1G28770	0	0	0	0	0	0
AT1G28780	0	0	0	0	0	0
AT1G28790	0	0	0	0	0	0
AT1G28800	0	0	0	0	0	0
AT1G28810	0	0	0	0	0	0
AT1G28815	0	0	0	0	0	0
AT1G28820	0	0	0	0	0	0
AT1G28830	0	0	0	0	0	0
AT1G28840	0	0	0	0	0	0
AT1G28850	0	0	0	0	0	0
AT1G28860	0	0	0	0	0	0
AT1G28870	0	0	0	0	0	0
AT1G28880	0	0	0	0	0	0
AT1G28890	0	0	0	0	0	0
AT1G28900	0	0	0	0	0	0
AT1G28910	0	0	0	0	0	0
AT1G28920	0	0	0	0	0	0
AT1G28930	0	0	0	0	0	0
AT1G28940	0	0	0	0	0	0
AT1G28950	0	0	0	0	0	0
AT1G28960	157	327	328	349	290	237
AT1G28970	0	0	0	0	0	0
AT1G28980	0	0	0	0	0	0
AT1G28990	0	0	0	0	0	0
AT1G29000	0	0	0	0	0	0
AT1G29005	0	0	0	0	0	0
AT1G29010	0	0	0	0	0	0
AT1G29020	0	0	0	0	0	0
AT1G29025	0	0	0	0	0	0
AT1G29030	73	169	158	247	157	152
